Student_ID,Attendance,Assignment,Quiz,Midterm,Final,Previous_GPA,Average_Score,Risk_Level
607,53,65,60,82,89,3.94,78.0,High
608,67,63,85,72,51,2.64,63.5,Medium
609,44,57,44,37,58,2.32,48.8,High
610,86,40,80,40,67,3.02,59.4,Medium
611,88,68,85,38,32,2.78,48.3,High
612,69,76,61,23,78,2.32,58.7,Medium
613,85,48,84,96,86,3.78,84.9,Low
614,91,44,55,48,75,3.98,63.4,Medium
615,44,57,95,44,60,3.14,56.8,High
616,51,53,28,75,75,3.55,65.7,High
617,55,38,55,96,54,3.72,65.2,High
618,65,76,57,82,57,3.4,67.2,Low
619,65,62,52,46,86,2.09,66.1,Medium
620,87,91,61,79,53,2.32,68.8,Medium
621,60,48,80,68,95,2.14,77.2,Medium
622,78,96,65,84,89,2.02,84.7,Medium
623,75,69,80,57,30,2.61,51.5,Medium
624,72,76,37,71,46,2.78,58.2,Medium
625,69,94,89,20,67,2.48,58.0,Medium
626,76,58,99,59,43,2.13,58.2,Medium
627,62,79,34,40,37,3.06,44.3,High
628,97,42,67,34,46,2.55,49.2,High
629,49,30,91,69,73,3.59,66.9,High
630,93,63,32,67,74,2.02,68.5,Medium
631,44,77,62,51,40,3.69,49.6,High
632,75,77,79,68,78,3.91,74.7,Low
633,73,78,76,87,53,3.43,70.0,Low
634,91,93,90,64,77,3.47,77.4,Low
635,70,90,36,51,67,3.87,61.7,Medium
636,49,58,69,23,73,2.42,53.7,High
637,97,68,51,84,37,3.99,61.6,Medium
638,58,55,41,90,22,3.55,51.2,High
639,97,46,74,92,43,3.45,66.5,Low
640,71,42,76,84,20,2.72,52.1,Medium
641,40,98,32,99,25,3.09,56.7,High
642,95,55,66,37,38,3.31,47.9,High
643,44,78,81,73,62,3.24,67.0,High
644,84,96,73,66,27,3.41,55.9,Medium
645,43,36,48,25,88,2.16,55.4,High
646,55,87,41,85,71,2.71,72.2,High
647,63,78,84,28,92,2.87,67.7,Low
648,55,82,48,87,66,2.52,71.0,High
649,94,94,67,42,47,2.35,56.9,Medium
650,41,91,24,62,65,2.28,60.2,High
651,88,46,54,70,23,2.73,49.0,High
652,67,72,93,91,27,2.99,61.3,Medium
653,71,54,90,44,80,2.13,66.7,Medium
654,66,32,65,99,36,3.89,60.4,Medium
655,59,58,54,54,53,3.53,54.5,High
656,63,61,64,36,39,3.46,45.2,High
657,51,55,32,37,99,2.35,64.5,High
658,89,45,29,46,93,3.21,67.3,Low
659,74,54,85,34,53,3.06,52.7,Medium
660,99,83,89,88,62,3.96,78.3,Low
661,72,57,91,99,29,3.5,63.3,Medium
662,72,85,44,34,49,3.15,49.9,High
663,90,94,63,61,44,3.7,60.6,Medium
664,82,70,79,53,76,2.31,69.4,Medium
665,76,80,66,67,82,2.03,75.1,Medium
666,51,58,59,27,90,3.38,60.9,High
667,42,48,26,29,66,2.2,46.7,High
668,40,95,65,24,22,2.23,36.0,High
669,72,70,42,67,65,3.49,64.5,Medium
670,79,74,65,45,55,2.54,57.3,Medium
671,49,44,32,42,45,3.26,43.1,High
672,82,32,40,81,29,3.83,51.3,Medium
673,83,40,20,32,53,2.63,45.1,High
674,68,82,38,28,97,2.43,66.0,Medium
675,52,75,79,39,27,2.21,43.1,High
676,51,59,52,76,74,2.26,68.6,High
677,70,86,23,43,29,2.12,42.4,High
678,85,47,22,52,76,2.18,61.4,Medium
679,41,80,71,39,98,2.86,70.1,High
680,90,77,47,79,64,2.64,70.7,Low
681,89,95,89,67,69,3.41,75.0,Low
682,74,37,89,83,83,3.74,78.1,Low
683,62,51,74,49,21,3.57,41.8,High
684,56,35,76,92,64,3.06,69.9,High
685,65,86,35,36,81,2.2,61.8,Medium
686,47,65,43,33,33,3.42,38.6,High
687,68,86,88,38,93,2.73,72.8,Low
688,65,78,60,90,34,2.17,60.9,Medium
689,49,74,96,78,33,3.68,58.5,High
690,65,95,66,86,50,2.68,68.4,Low
691,73,74,95,63,48,2.44,62.3,Medium
692,90,49,88,51,46,3.74,56.4,Medium
693,80,93,50,30,28,3.8,42.5,High
694,46,96,49,21,39,2.68,41.0,High
695,43,32,37,87,77,2.71,68.1,High
696,97,83,63,36,98,3.16,74.3,Low
697,92,93,46,59,68,3.47,68.0,Low
698,89,69,45,65,76,2.13,70.2,Medium
699,84,88,79,23,35,3.19,46.0,High
700,50,84,37,57,94,3.91,71.8,High
701,68,91,75,82,27,2.52,58.8,Medium
702,95,33,50,48,86,3.82,66.6,Low
703,75,89,78,38,38,3.9,50.8,Medium
704,64,59,21,48,86,2.54,63.2,Medium
705,60,31,58,54,55,3.51,53.1,Medium
706,96,91,80,89,79,2.48,85.0,Medium
707,75,78,82,42,55,3.48,58.1,Medium
708,49,38,37,65,30,3.59,43.9,High
709,76,60,36,63,70,2.49,64.1,Medium
710,48,90,58,67,99,3.43,79.3,High
711,63,77,90,71,74,3.62,73.9,Low
712,74,54,73,27,73,2.72,57.4,Medium
713,88,65,95,74,36,2.34,61.4,Medium
714,74,37,54,85,81,2.18,74.4,Medium
715,87,87,30,96,61,3.15,73.6,Low
716,75,74,80,59,43,3.96,57.8,Medium
717,57,91,63,50,36,3.65,50.5,High
718,88,68,87,67,67,2.87,71.2,Low
719,78,87,44,80,89,3.07,80.5,Low
720,71,93,67,71,26,2.56,54.8,Medium
721,63,73,51,57,33,2.33,49.0,High
722,62,58,23,55,30,2.96,42.8,High
723,71,88,57,74,31,2.93,56.2,Medium
724,76,38,82,32,24,3.04,38.8,High
725,51,35,66,56,24,3.91,41.6,High
726,88,58,20,66,39,3.21,52.0,Medium
727,94,87,22,90,73,3.21,76.5,Low
728,52,46,81,41,74,2.26,59.8,High
729,62,45,83,58,77,3.99,67.2,Low
730,64,32,36,77,98,3.55,75.5,Low
731,74,50,97,49,49,3.75,56.4,Medium
732,80,93,81,37,43,2.83,53.7,Medium
733,69,65,54,37,92,3.0,66.7,Low
734,56,91,32,93,22,3.04,54.6,High
735,88,71,54,58,67,2.39,65.5,Medium
736,59,71,62,45,90,3.38,68.7,High
737,87,90,21,90,41,3.81,63.2,Medium
738,64,42,75,26,33,2.33,39.1,High
739,61,40,96,88,67,2.17,72.9,Medium
740,52,83,70,84,48,3.48,64.9,High
741,98,45,73,65,69,2.55,68.7,Low
742,58,37,35,37,99,3.25,63.7,High
743,88,88,37,32,29,3.39,42.5,High
744,75,86,26,44,90,2.64,67.9,Low
745,51,69,64,27,46,3.63,44.9,High
746,80,88,55,93,98,3.1,89.4,Low
747,58,31,60,51,47,3.74,49.0,High
748,51,39,61,36,28,3.53,37.1,High
749,48,73,26,98,90,3.74,80.1,High
750,46,40,34,98,99,2.04,81.0,High
751,67,31,79,67,45,2.49,55.8,Medium
752,53,79,59,82,27,2.18,54.5,High
753,70,41,56,59,21,2.88,42.8,High
754,91,52,85,34,76,3.78,63.4,Medium
755,58,47,74,25,71,2.94,53.8,High
756,97,91,96,82,77,3.7,83.8,Low
757,86,91,99,27,22,2.65,44.5,High
758,55,67,75,51,27,2.68,45.8,High
759,92,96,63,64,78,3.79,75.5,Low
760,44,67,76,71,21,2.85,48.4,High
761,74,96,25,98,81,3.58,81.3,Low
762,51,90,51,32,68,2.47,56.0,High
763,64,30,93,43,39,3.9,47.2,High
764,91,74,37,59,48,3.15,57.1,Medium
765,98,57,87,33,36,3.52,48.5,High
766,60,50,92,94,93,2.18,85.6,Medium
767,75,42,26,89,41,2.99,57.4,Medium
768,92,56,27,81,25,3.8,51.8,Medium
769,62,36,83,80,81,3.75,74.5,Low
770,55,51,26,20,50,2.09,39.2,High
771,96,82,60,85,81,2.61,81.7,Low
772,78,33,59,51,31,2.89,44.7,High
773,84,52,22,32,31,2.34,37.8,High
774,92,99,36,52,82,3.46,71.1,Low
775,81,62,85,51,35,2.37,52.1,Medium
776,97,57,98,75,44,2.69,65.3,Low
777,78,37,71,43,41,3.33,47.9,High
778,53,30,41,23,95,2.96,57.3,High
779,70,66,23,42,37,3.48,43.3,High
780,97,92,25,48,64,3.92,61.4,Medium
781,44,51,57,40,99,2.23,66.8,High
782,74,99,45,49,87,3.42,71.3,Low
783,62,50,30,39,31,2.46,38.3,High
784,68,64,36,35,68,2.83,54.5,Medium
785,82,34,50,86,52,2.07,63.2,Medium
786,50,89,96,68,82,2.27,76.7,High
787,57,75,54,77,37,2.64,56.5,High
788,86,79,35,63,73,2.68,68.1,Low
789,51,77,98,44,46,3.8,54.2,High
790,48,35,37,42,97,3.48,63.4,High
791,49,85,81,78,44,3.94,62.5,High
792,97,88,46,20,53,3.2,50.3,Medium
793,83,58,54,34,79,2.48,61.3,Medium
794,56,47,64,71,73,2.66,67.2,High
795,77,31,54,77,24,2.64,48.9,High
796,46,37,47,60,55,2.65,53.0,High
797,85,83,28,63,73,3.35,67.7,Low
798,52,67,95,23,55,3.06,50.3,High
799,79,77,34,96,88,2.77,83.0,Low
800,81,56,40,87,58,2.3,67.0,Medium
801,48,49,71,26,89,2.04,60.2,High
802,89,41,54,65,23,2.44,47.1,High
803,66,72,70,28,93,2.21,66.4,Medium
804,97,90,74,52,84,3.57,75.3,Low
805,41,60,96,52,59,2.22,58.9,High
806,44,90,63,23,56,3.45,49.0,High
807,68,96,84,84,86,2.77,84.4,Low
808,76,64,99,53,50,2.15,59.8,Medium
809,77,44,44,98,96,3.63,84.3,Low
810,58,45,66,83,66,3.16,68.2,High
811,47,42,99,44,46,2.47,50.4,High
812,87,64,75,74,70,3.79,72.8,Low
813,84,88,57,28,39,2.09,46.9,High
814,40,50,30,36,32,2.4,35.6,High
815,61,83,86,40,82,3.5,67.8,Low
816,91,59,34,79,63,3.42,67.3,Low
817,56,77,20,32,43,2.58,42.1,High
818,46,64,26,22,22,2.12,29.0,High
819,64,67,20,87,29,3.72,52.8,Medium
820,84,60,68,23,84,2.63,61.7,Medium
821,43,53,92,26,68,2.39,53.8,High
822,75,78,48,45,77,3.03,64.4,Medium
823,45,61,45,94,96,3.82,81.7,High
824,99,84,64,43,97,2.09,76.4,Medium
825,70,87,90,29,21,3.53,41.8,High
826,58,32,31,32,85,3.14,55.7,High
827,83,98,51,63,50,2.85,62.1,Medium
828,93,39,39,58,87,3.49,69.3,Low
829,78,54,70,38,56,3.93,54.0,Medium
830,66,97,55,70,92,2.46,79.6,Medium
831,49,90,86,38,43,2.29,51.1,High
832,65,58,20,95,96,3.83,81.2,Low
833,58,48,46,71,63,3.34,61.7,High
834,78,72,59,66,60,2.88,64.7,Medium
835,42,95,33,49,93,3.15,68.9,High
836,84,90,88,65,70,3.49,73.7,Low
837,52,72,98,95,61,3.55,75.1,High
838,89,54,25,40,97,3.84,67.6,Low
839,67,49,52,94,59,2.85,68.6,Low
840,97,77,74,67,67,2.59,71.7,Low
841,59,53,38,81,23,3.28,48.5,High
842,67,40,96,77,79,2.83,75.0,Low
843,47,84,48,37,58,3.19,52.2,High
844,80,57,80,78,24,2.84,54.7,Medium
845,78,98,89,67,25,2.31,56.6,Medium
846,40,92,98,82,33,2.94,60.8,High
847,42,88,99,31,89,3.38,67.8,High
848,52,34,43,53,97,3.6,67.6,High
849,67,80,42,80,31,2.99,55.3,Medium
850,96,50,29,72,81,2.33,71.5,Medium
851,99,41,73,44,46,2.83,52.9,Medium
852,88,79,60,81,73,3.57,76.2,Low
853,64,33,68,23,31,2.83,35.8,High
854,95,71,36,32,27,3.39,40.6,High
855,72,67,75,61,93,3.01,76.9,Low
856,77,54,64,68,35,2.48,53.9,Medium
857,92,43,49,97,71,3.59,75.9,Low
858,45,61,63,75,45,2.17,57.4,High
859,97,40,93,66,27,3.05,53.6,Medium
860,83,90,74,27,64,2.42,58.4,Medium
861,84,47,38,74,38,2.13,54.3,Medium
862,71,56,48,37,36,3.01,43.0,High
863,84,84,21,54,84,3.0,68.7,Low
864,86,83,55,51,48,3.41,56.9,Medium
865,60,50,38,43,33,3.49,40.9,High
866,55,73,26,26,36,3.46,37.6,High
867,93,34,45,32,32,2.82,39.6,High
868,60,70,98,88,82,3.26,82.0,Low
869,50,88,57,61,52,3.15,58.6,High
870,99,83,22,50,48,2.84,54.6,Medium
871,76,51,99,93,56,3.19,72.9,Low
872,75,94,85,45,65,3.89,64.9,Medium
873,74,93,90,95,43,2.39,71.4,Medium
874,58,33,62,51,33,3.81,43.8,High
875,59,94,81,71,24,2.11,54.3,High
876,96,44,90,39,72,2.62,63.5,Medium
877,57,51,43,59,49,2.58,52.4,High
878,86,76,58,78,79,3.25,77.0,Low
879,80,75,87,96,92,2.26,89.8,Medium
880,88,43,63,33,47,3.76,48.1,High
881,53,79,24,63,45,3.66,52.5,High
882,54,49,74,67,37,3.3,52.6,High
883,70,79,49,62,55,2.92,60.4,Medium
884,40,62,48,35,27,3.87,36.3,High
885,92,88,45,54,37,3.66,53.5,Medium
886,93,72,45,72,77,3.0,73.4,Low
887,93,41,56,53,51,3.4,55.3,Medium
888,42,69,72,22,68,3.13,52.1,High
889,55,49,49,87,67,3.18,68.2,High
890,62,67,22,24,90,2.66,58.3,Medium
891,96,32,62,29,84,2.92,61.3,Medium
892,50,57,26,71,52,2.16,55.4,High
893,51,85,68,48,69,2.71,62.4,High
894,49,42,92,50,23,3.39,42.5,High
895,71,95,60,85,55,3.91,70.1,Low
896,55,66,96,95,47,3.93,69.0,High
897,47,78,98,88,22,3.11,57.5,High
898,77,95,73,56,25,3.21,51.3,Medium
899,51,65,88,46,64,2.37,59.8,High
900,63,83,46,52,42,3.39,51.6,Medium
901,67,55,27,87,26,2.14,51.4,Medium
902,92,69,51,78,80,2.57,76.6,Low
903,47,72,83,83,84,3.34,78.7,High
904,97,51,29,63,25,2.62,46.6,High
905,67,49,32,68,43,2.1,52.4,Medium
906,75,37,82,72,56,3.66,63.4,Medium
907,65,58,54,93,64,2.62,71.2,Low
908,47,69,80,68,70,2.13,68.0,High
909,97,59,73,85,64,2.15,74.0,Medium
910,99,84,27,82,82,2.5,78.4,Low
911,89,45,48,44,48,2.36,50.6,Medium
912,67,75,60,23,44,3.55,44.7,High
913,67,91,49,70,29,2.64,53.3,Medium
914,76,36,40,30,54,3.61,45.8,High
915,80,74,95,36,74,2.35,65.3,Medium
916,75,88,30,85,44,2.99,62.4,Medium
917,66,85,21,89,64,3.38,69.5,Low
918,93,77,69,92,31,3.3,63.9,Medium
919,56,56,60,88,23,3.2,52.8,High
920,48,82,85,48,86,3.85,70.3,High
921,72,64,22,92,36,2.46,57.8,Medium
922,92,80,99,91,92,2.99,91.2,Low
923,59,66,70,39,84,3.77,64.8,High
924,52,86,87,46,72,2.16,65.1,High
925,67,37,44,27,76,2.11,53.3,Medium
926,87,49,49,80,47,2.47,61.3,Medium
927,68,82,30,47,35,3.27,46.1,High
928,52,41,36,89,40,2.52,55.6,High
929,85,78,45,22,96,2.38,65.8,Medium
930,74,46,42,88,61,2.92,67.0,Low
931,45,93,75,92,73,3.23,78.1,High
932,57,71,71,26,51,2.5,48.1,High
933,90,58,67,79,57,2.6,68.0,Low
934,44,48,39,23,89,3.23,55.6,High
935,86,40,21,24,57,3.89,44.7,High
936,64,79,50,30,73,3.35,57.5,Medium
937,41,87,46,34,79,3.57,59.2,High
938,49,63,21,83,96,2.73,76.6,High
939,95,49,97,32,96,2.54,72.1,Low
940,69,79,23,26,66,2.91,51.3,Medium
941,89,39,32,25,31,3.61,35.9,High
942,98,61,54,75,72,2.91,72.6,Low
943,84,81,91,83,52,3.69,71.3,Low
944,44,44,85,69,47,3.98,56.8,High
945,94,32,25,49,22,2.14,38.6,High
946,95,66,50,41,45,2.09,51.4,Medium
947,72,69,29,44,73,2.3,59.4,Medium
948,93,69,40,47,59,2.77,57.9,Medium
949,40,85,93,58,85,2.26,73.2,High
950,57,52,42,86,87,3.74,75.7,High
951,71,40,22,24,66,2.05,46.9,High
952,86,93,51,84,21,2.63,56.6,Medium
953,88,37,39,34,61,2.37,51.0,Medium
954,50,85,93,86,53,3.86,69.8,High
955,60,89,48,59,40,3.34,53.4,Medium
956,65,39,71,88,63,3.82,69.1,Low
957,64,68,65,96,21,3.94,56.9,Medium
958,61,57,53,62,78,2.99,66.9,Low
959,98,78,80,20,35,2.47,45.6,High
960,66,65,91,41,39,2.39,50.1,Medium
961,88,42,90,81,45,2.45,64.3,Medium
962,52,65,89,98,35,3.42,64.0,High
963,72,55,30,45,89,2.08,64.8,Medium
964,73,33,82,37,42,2.1,46.7,High
965,80,93,40,67,61,3.22,65.8,Low
966,74,67,22,28,56,3.28,47.1,High
967,40,51,29,20,91,3.33,54.4,High
968,60,31,46,28,25,2.74,32.1,High
969,87,60,31,42,56,3.61,52.8,Medium
970,94,40,26,64,41,3.07,51.6,Medium
971,45,75,36,21,25,2.21,31.9,High
972,67,91,84,33,51,3.59,54.5,Medium
973,56,98,83,57,36,3.91,55.2,High
974,44,93,45,59,57,2.12,58.7,High
975,70,39,34,82,36,2.78,53.3,Medium
976,44,69,52,35,56,2.98,49.4,High
977,77,53,81,94,42,2.29,66.1,Medium
978,42,73,66,25,68,3.74,52.8,High
979,92,89,54,22,80,2.57,62.1,Medium
980,62,91,84,33,68,3.57,60.8,Medium
981,76,46,91,85,80,3.34,78.8,Low
982,92,94,95,94,96,3.2,94.7,Low
983,76,86,44,86,51,2.38,66.8,Medium
984,49,84,76,50,82,2.44,68.7,High
985,49,82,51,52,26,2.09,44.2,High
986,58,85,82,20,41,2.48,44.9,High
987,56,38,31,63,25,2.69,41.4,High
988,60,51,82,34,80,3.67,61.5,Medium
989,53,42,96,56,33,2.73,49.1,High
990,48,77,20,46,35,3.51,42.3,High
991,85,47,70,67,22,2.88,49.1,High
992,40,69,89,46,28,3.57,44.8,High
993,90,46,27,31,66,3.95,52.0,Medium
994,84,44,87,86,61,2.48,71.7,Medium
995,52,44,24,49,61,3.72,51.1,High
996,43,92,58,85,42,3.24,61.6,High
997,40,68,42,26,22,3.63,31.6,High
998,88,42,87,53,20,3.3,45.6,High
999,79,61,71,51,86,2.85,70.8,Low
1000,71,38,23,58,90,2.46,66.6,Medium
1001,73,69,66,62,22,2.14,48.2,High
1002,67,49,40,62,68,3.07,61.4,Medium
1003,70,92,75,97,86,3.98,87.2,Low
1004,47,73,85,22,74,3.48,56.7,High
1005,78,67,78,65,23,2.65,51.0,Medium
1006,65,89,26,51,50,3.65,53.3,Medium
1007,97,77,68,62,85,3.54,76.8,Low
1008,73,47,35,22,97,2.56,60.9,Medium
1009,93,45,36,93,83,2.03,78.5,Medium
1010,93,84,94,82,50,2.24,71.7,Medium
1011,42,68,53,59,82,3.75,66.8,High
1012,98,97,52,37,85,3.67,69.8,Low
1013,89,88,45,86,50,2.59,68.0,Low
1014,51,91,85,81,66,2.57,73.4,High
1015,40,42,82,29,41,3.59,41.5,High
1016,93,35,60,71,93,3.88,77.3,Low
1017,83,89,77,92,65,3.56,78.5,Low
1018,44,43,98,65,77,3.21,68.8,High
1019,69,83,29,74,80,2.49,72.3,Medium
1020,69,33,34,65,65,3.05,59.1,Medium
1021,98,68,61,94,20,2.47,58.9,Medium
1022,96,54,76,79,44,3.62,63.9,Medium
1023,56,61,36,45,80,2.77,60.8,High
1024,87,88,79,46,33,3.67,52.4,Medium
1025,86,92,28,57,64,2.76,63.3,Medium
1026,62,67,55,41,96,3.65,69.1,Low
1027,54,82,92,45,58,2.67,59.5,High
1028,76,96,99,88,85,2.88,87.5,Low
1029,60,57,55,54,51,3.23,53.8,Medium
1030,53,32,67,85,77,2.14,71.5,High
1031,41,51,70,92,75,3.9,73.8,High
1032,50,67,89,70,25,3.15,51.6,High
1033,90,91,93,37,86,3.02,72.9,Low
1034,78,86,99,62,69,3.68,72.5,Low
1035,77,35,87,31,57,3.73,52.0,Medium
1036,99,61,41,22,22,3.04,35.5,High
1037,73,39,96,26,24,3.85,38.2,High
1038,77,32,99,25,43,2.13,45.5,High
1039,89,88,25,64,73,2.23,68.6,Medium
1040,73,78,45,58,53,3.19,58.2,Medium
1041,57,88,94,70,58,2.71,68.1,High
1042,69,60,22,28,67,2.93,50.3,Medium
1043,54,98,71,42,68,2.66,62.1,High
1044,66,91,93,31,53,2.81,55.5,Medium
1045,90,81,79,81,99,3.65,88.9,Low
1046,73,70,82,92,26,3.19,60.5,Medium
1047,91,60,84,96,37,3.99,67.1,Low
1048,96,51,71,59,89,3.57,75.1,Low
1049,77,33,95,73,53,2.55,63.6,Medium
1050,72,42,33,26,70,2.53,50.5,Medium
1051,63,74,91,36,87,2.67,68.4,Low
1052,54,71,87,69,33,3.69,55.1,High
1053,99,78,47,43,88,2.05,70.5,Medium
1054,69,49,90,21,27,2.46,37.9,High
1055,94,83,29,52,34,3.81,49.8,High
1056,81,65,76,40,78,3.28,65.4,Low
1057,90,30,85,93,30,2.45,60.4,Medium
1058,56,44,69,72,39,2.44,54.1,High
1059,44,46,33,65,74,3.73,61.4,High
1060,68,53,35,64,55,3.79,56.8,Medium
1061,43,87,73,28,33,2.51,41.9,High
1062,49,52,62,25,77,2.84,54.6,High
1063,95,75,61,70,57,3.67,66.9,Low
1064,56,37,41,54,99,3.54,69.2,High
1065,49,88,87,72,20,3.63,52.0,High
1066,56,88,38,38,84,3.04,63.2,High
1067,99,42,85,88,20,3.82,57.0,Medium
1068,59,68,58,44,79,2.65,63.3,High
1069,63,57,92,30,44,2.31,47.8,High
1070,44,90,38,93,29,3.42,56.7,High
1071,73,45,35,36,69,3.08,53.7,Medium
1072,45,31,73,55,31,3.71,43.8,High
1073,92,46,44,40,51,2.16,50.6,Medium
1074,41,59,37,37,52,3.69,45.6,High
1075,52,42,42,79,91,2.59,73.7,High
1076,82,42,30,37,45,3.31,44.5,High
1077,82,72,58,20,61,2.08,51.6,Medium
1078,87,50,87,33,69,3.22,59.9,Medium
1079,50,84,44,27,80,3.43,57.9,High
1080,90,69,82,85,60,2.74,73.6,Low
1081,86,44,49,70,76,2.43,69.3,Medium
1082,96,81,64,98,21,3.08,61.9,Medium
1083,62,82,80,79,89,3.67,81.7,Low
1084,94,81,70,53,50,2.65,60.4,Medium
1085,55,59,28,55,42,2.5,47.5,High
1086,70,62,95,81,95,2.56,85.0,Low
1087,50,86,21,20,73,3.9,50.9,High
1088,93,81,24,61,47,2.72,56.9,Medium
1089,55,38,81,20,98,2.01,62.6,High
1090,47,83,88,73,38,3.56,58.9,High
1091,43,30,71,66,95,3.4,72.2,High
1092,79,73,24,58,67,2.26,61.8,Medium
1093,43,38,78,49,21,3.97,39.0,High
1094,95,61,87,26,30,3.22,44.1,High
1095,64,44,28,41,63,3.0,51.1,Medium
1096,42,41,41,69,78,2.76,64.3,High
1097,71,86,46,64,78,3.8,70.7,Low
1098,42,37,29,93,57,2.49,61.5,High
1099,66,56,99,91,44,2.57,67.0,Low
1100,68,91,80,29,40,2.24,48.6,High
1101,71,41,70,33,61,3.52,52.5,Medium
1102,89,94,29,65,55,3.19,62.7,Medium
1103,97,71,25,94,28,3.22,58.7,Medium
1104,90,91,81,25,31,2.44,46.1,High
1105,58,40,24,40,29,3.3,35.8,High
1106,60,72,89,81,78,3.53,77.6,Low
1107,44,46,82,38,24,2.72,38.2,High
1108,57,61,75,81,52,3.6,64.4,High
1109,67,69,78,72,88,2.7,78.2,Low
1110,81,52,82,43,99,3.52,74.0,Low
1111,61,85,78,75,82,2.07,77.7,Medium
1112,60,35,70,81,48,3.1,60.0,Medium
1113,45,79,69,53,37,3.94,50.0,High
1114,40,66,23,41,25,3.96,35.2,High
1115,44,93,67,87,72,2.56,75.3,High
1116,80,83,51,76,51,2.88,64.6,Medium
1117,51,78,70,29,61,2.13,53.0,High
1118,65,40,71,85,66,3.75,69.5,Low
1119,85,78,93,27,50,3.14,53.7,Medium
1120,73,50,53,57,81,2.77,67.1,Low
1121,88,95,55,81,75,2.23,78.1,Medium
1122,53,92,89,47,30,3.89,49.5,High
1123,65,57,62,29,45,3.06,45.1,High
1124,84,46,35,64,46,2.57,54.1,Medium
1125,66,35,78,84,76,2.7,73.5,Low
1126,48,48,72,86,46,2.54,61.0,High
1127,65,85,38,28,78,3.2,58.4,Medium
1128,96,57,60,24,81,3.86,60.9,Medium
1129,86,95,66,29,39,3.71,49.0,High
1130,96,67,73,31,22,2.92,41.7,High
1131,61,66,74,77,35,3.65,57.2,Medium
1132,86,97,38,40,63,2.85,59.3,Medium
1133,95,78,81,40,98,2.5,76.6,Low
1134,69,72,78,84,49,3.97,66.7,Low
1135,82,65,84,22,59,2.61,53.3,Medium
1136,87,87,87,88,84,2.65,86.1,Low
1137,56,42,47,83,48,3.98,58.6,High
1138,65,81,37,68,49,2.27,58.3,Medium
1139,75,87,45,91,51,3.52,68.4,Low
1140,40,61,38,36,29,3.87,36.3,High
1141,47,89,74,92,70,3.02,76.6,High
1142,88,87,76,51,27,2.01,51.2,Medium
1143,74,85,25,89,70,2.75,73.1,Low
1144,91,57,20,40,55,2.22,50.8,Medium
1145,54,30,27,26,74,2.83,48.5,High
1146,86,71,70,26,54,3.58,52.1,Medium
1147,95,77,44,46,55,2.88,57.4,Medium
1148,61,69,66,27,75,2.86,57.7,Medium
1149,53,92,74,92,55,3.11,71.5,High
1150,65,33,83,47,80,3.16,64.2,Medium
1151,67,67,29,98,81,3.71,78.1,Low
1152,62,56,75,85,44,2.62,62.4,Medium
1153,53,38,31,90,83,3.64,72.4,High
1154,63,45,52,66,79,3.13,67.4,Low
1155,41,85,90,29,76,2.6,60.7,High
1156,84,60,36,52,89,2.59,69.2,Low
1157,65,43,80,26,71,2.72,55.0,Medium
1158,53,54,29,22,75,3.25,50.2,High
1159,98,63,50,33,82,2.46,63.8,Medium
1160,95,96,79,63,87,3.84,80.7,Low
1161,90,53,89,65,39,3.15,58.3,Medium
1162,46,55,36,80,73,3.84,66.9,High
1163,42,49,69,55,20,2.09,40.5,High
1164,86,93,56,32,29,2.69,44.7,High
1165,62,39,81,35,42,2.05,45.5,High
1166,85,96,99,99,70,2.54,85.7,Low
1167,82,53,91,24,43,3.72,47.0,High
1168,86,34,96,57,32,2.07,51.5,Medium
1169,99,96,48,69,48,2.87,64.2,Medium
1170,84,87,51,57,77,2.24,70.1,Medium
1171,57,56,99,75,62,2.83,68.5,High
1172,97,44,30,82,29,3.68,53.3,Medium
1173,77,64,25,67,50,3.25,56.7,Medium
1174,74,82,54,78,93,3.47,81.6,Low
1175,90,73,52,96,33,2.7,63.5,Medium
1176,54,55,37,63,53,3.89,54.7,High
1177,64,76,56,74,36,3.42,56.2,Medium
1178,94,63,32,74,40,2.84,57.1,Medium
1179,76,79,93,20,86,2.85,65.2,Low
1180,67,41,83,27,77,3.84,58.0,Medium
1181,49,33,20,23,98,3.15,56.3,High
1182,78,77,82,72,27,3.41,56.1,Medium
1183,96,84,53,77,57,2.83,69.2,Low
1184,56,30,29,56,45,2.45,46.3,High
1185,78,95,26,68,83,3.45,73.5,Low
1186,61,59,75,86,49,3.22,64.9,Medium
1187,65,32,99,38,28,3.0,42.2,High
1188,83,50,56,20,51,3.25,45.3,High
1189,64,78,48,48,30,2.42,45.4,High
1190,56,91,31,52,53,3.59,54.6,High
1191,52,67,36,71,37,3.9,51.6,High
1192,59,44,67,60,38,3.78,50.2,High
1193,64,81,45,42,73,2.64,60.8,Medium
1194,43,75,31,24,56,2.81,44.5,High
1195,49,54,40,90,31,3.62,53.7,High
1196,42,50,61,76,23,3.19,47.3,High
1197,80,34,80,25,62,3.1,51.7,Medium
1198,84,99,77,68,46,3.85,64.8,Medium
1199,57,76,73,41,70,3.07,60.9,High
1200,86,97,53,96,24,3.03,62.0,Medium
1201,75,47,26,95,25,2.08,53.3,Medium
1202,86,50,54,23,96,2.14,64.3,Medium
1203,61,52,34,91,75,2.01,72.0,Medium
1204,73,93,84,83,87,3.83,84.7,Low
1205,86,96,44,56,63,2.82,64.6,Medium
